facilityId,facilityName,state,zipCode,SMD %,SUB-2 %,SUB-3 %,TOB-3 %,Start Date,End Date,MedCont %,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 %,Flu Season Start Date,Flu Season End Date
10011,ST. VINCENT'S EAST,AL,35235,9,Not Available,5,0,01/01/2023,12/31/2023,87.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,138,23.7,18.5,30,,07/01/2021,06/30/2023,88,10/01/2023,03/31/2024
10012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,100,Not Available,Not Available,89,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,145,16,11.8,21.2,,07/01/2021,06/30/2023,99,10/01/2023,03/31/2024
10016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,95,86,90,79,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,85,21,15.8,27.2,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
10021,DALE MEDICAL CENTER,AL,36360,19,16,84,47,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,77,10/01/2023,03/31/2024
10023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,96,89,97,49,01/01/2023,12/31/2023,70.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,104,20.5,15.9,26.1,,07/01/2021,06/30/2023,78,10/01/2023,03/31/2024
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,89,96,100,93,01/01/2023,12/31/2023,78.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,207,21.5,17.6,26.1,,07/01/2021,06/30/2023,74,10/01/2023,03/31/2024
10034,COMMUNITY HOSPITAL INC,AL,36078,92,Not Available,Not Available,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,49,20.9,14.5,29,,07/01/2021,06/30/2023,74,10/01/2023,03/31/2024
10039,HUNTSVILLE HOSPITAL,AL,35801,85,98,32,73,01/01/2023,12/31/2023,79.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,273,20.5,16.9,25.1,,07/01/2021,06/30/2023,92,10/01/2023,03/31/2024
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,91,Not Available,Not Available,13,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,102,19.2,14.2,26,,07/01/2021,06/30/2023,89,10/01/2023,03/31/2024
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,98,Not Available,Not Available,Not Available,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,64,16.7,12,23.4,,07/01/2021,06/30/2023,84,10/01/2023,03/31/2024
10062,WIREGRASS MEDICAL CENTER,AL,36340,6,0,Not Available,0,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,142,17.4,13.1,22.8,,07/01/2021,06/30/2023,0,10/01/2023,03/31/2024
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,98,98,97,92,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,96,23.3,17.8,29.8,,07/01/2021,06/30/2023,83,10/01/2023,03/31/2024
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,35601,98,81,8,40,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,74,16.4,11.6,22.3,,07/01/2021,06/30/2023,89,10/01/2023,03/31/2024
10086,NORTHWEST MEDICAL CENTER,AL,35594,89,36,55,100,01/01/2023,12/31/2023,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,53,18.1,12.7,25.4,,07/01/2021,06/30/2023,83,10/01/2023,03/31/2024
10089,WALKER BAPTIST MEDICAL CENTER,AL,35502,97,94,95,96,01/01/2023,12/31/2023,89.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,234,19.9,15.9,24.4,,07/01/2021,06/30/2023,100,10/01/2023,03/31/2024
